museum,number,Genus,species,mass,wing,bill,tarsus,photo,age,5bar,growth,latitude,longitude,Elevation,Locality string,country,state,Sex,Day,Month,Year
LSUMZ,57763,Cyclarhis,gujanensis,,,,,,u,1.05,2.1,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,14,Jul,1961
LSUMZ,57767,Cyclarhis,gujanensis,,,,,,j,0.97,1.94,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,15,Jul,1961
LSUMZ,57781,Cyclarhis,gujanensis,,,,,,u,0.97,1.94,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,20,Jul,1961
LSUMZ,57772,Cyclarhis,gujanensis,,,,,,u,,0,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,17,Jul,1961
LSUMZ,57777,Cyclarhis,gujanensis,,,,,,u,,0,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,M,20,Jul,1961
LSUMZ,57778,Cyclarhis,gujanensis,,,,,,,,0,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,M,20,Jul,1961
LSUMZ,57779,Cyclarhis,gujanensis,,,,,,,,0,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,M,20,Jul,1961
LSUMZ,57784,Cyclarhis,gujanensis,,,,,,,,0,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,M,21,Jul,1961
LSUMZ,57785,Cyclarhis,gujanensis,,,,,,,,0,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. S Joaqu’«n",Argentina,Corrientes ,F,21,Jul,1961
LSUMZ,57786,Cyclarhis,gujanensis,,,,,,,,0,-27.74,-55.9,0,"San Carlos, Rio Aguapey, Ea. San Joaqu’«n",Argentina,Corrientes ,F,22,Jul,1961
